iter	RMSE
0	136.2578795
1	123.4063552
2	115.7041394
3	111.0776053
4	108.1398962
5	106.4555778
6	105.1902226
7	103.8142768
8	102.9163747
9	102.2387951
10	101.5554392
11	101.1645273
12	100.6485635
13	100.3624593
14	100.0535548
15	99.85700257
16	99.54269333
17	99.23075808
18	98.75888494
19	98.57725412
20	98.41086001
21	98.11681505
22	97.95815195
23	97.87025715
24	97.53906203
25	97.42471413
26	97.30058251
27	97.15317175
28	97.04767705
29	96.89769991
30	96.78281567
31	96.62811988
32	96.51219457
33	96.30035174
34	96.21699435
35	96.06849153
36	95.98704917
37	95.84358093
38	95.77668107
39	95.70141423
40	95.58598924
41	95.49869031
42	95.36147225
43	95.29766913
44	95.21392995
45	95.15169276
46	95.09259829
47	95.03744098
48	94.96611383
49	94.85301913
50	94.77525052
51	94.70534148
52	94.63302872
53	94.5647784
54	94.46998278
55	94.39830865
56	94.36615922
57	94.32425531
58	94.24779838
59	94.17952964
60	94.13633294
61	94.07215525
62	94.01754718
63	93.97722631
64	93.93319152
65	93.89666048
66	93.83839202
67	93.79102088
68	93.74501488
69	93.69550669
70	93.67391435
71	93.61438139
72	93.57310791
73	93.54534216
74	93.50320805
75	93.47140775
76	93.42874836
77	93.39356533
78	93.34815946
79	93.32387374
80	93.28702653
81	93.24684859
82	93.21748139
83	93.1603947
84	93.1390032
85	93.112795
86	93.09364428
87	93.05442033
88	93.02168843
89	92.96824716
90	92.94177363
91	92.92475427
92	92.88821892
93	92.8417691
94	92.80810825
95	92.78057755
96	92.76450562
97	92.72082582
98	92.70200293
99	92.66803828
100	92.64569265
101	92.62714015
102	92.60651461
103	92.5871699
104	92.55499748
105	92.53259311
106	92.5044284
107	92.483834
108	92.44878029
109	92.42006211
110	92.39319673
111	92.36376949
112	92.35198497
113	92.33821117
114	92.32398874
115	92.29994912
116	92.28377136
117	92.25376762
118	92.24413056
119	92.23353956
120	92.20852308
121	92.18638191
122	92.17462711
123	92.16253684
124	92.1464845
125	92.13533984
126	92.12056307
127	92.09991026
128	92.06426597
129	92.05398111
130	92.02901759
131	91.98796834
132	91.95652597
133	91.94077861
134	91.92272608
135	91.91197611
136	91.90144029
137	91.88778792
138	91.86319251
139	91.84759022
140	91.8351156
141	91.81841887
142	91.79066479
143	91.77632578
144	91.7433932
145	91.73105566
146	91.71816351
147	91.71005815
148	91.70104838
149	91.68393144
150	91.661234
151	91.64199901
152	91.62620222
153	91.61551399
154	91.59445435
155	91.57903972
156	91.55932559
157	91.54530744
158	91.52433324
159	91.51034241
160	91.49802941
161	91.48712391
162	91.45902029
163	91.44535871
164	91.42413055
165	91.41554411
166	91.39891991
167	91.38464733
168	91.37016389
169	91.35649171
170	91.33766405
171	91.3238087
172	91.31453276
173	91.30050035
174	91.29497676
175	91.282683
176	91.27584554
177	91.26032479
178	91.24779348
179	91.22332017
180	91.21225438
181	91.206477
182	91.1892006
183	91.17551222
184	91.15891398
185	91.14549552
186	91.13509643
187	91.12484645
188	91.10959789
189	91.10150432
190	91.08552148
191	91.07164756
192	91.05425212
193	91.03367448
194	91.02098894
195	91.00151255
196	90.98864855
197	90.97886849
198	90.97076628
199	90.9557229
200	90.94651536
201	90.93970742
202	90.93258836
203	90.91702889
204	90.90825321
205	90.89072885
206	90.88091873
207	90.8694911
208	90.85685822
209	90.84865416
210	90.83918252
211	90.82922219
212	90.81909375
213	90.81315782
214	90.79559795
215	90.78595637
216	90.77295168
217	90.7561041
218	90.74684335
219	90.72965029
220	90.72434923
221	90.71452065
222	90.70596903
223	90.68915405
224	90.68066885
225	90.6747085
226	90.66425182
227	90.65408149
228	90.64146548
229	90.63169786
230	90.61076614
231	90.60586117
232	90.60011224
233	90.58609199
234	90.57464575
235	90.56620755
236	90.54960865
237	90.53893433
238	90.53232174
239	90.52346125
240	90.51691809
241	90.51245161
242	90.50412589
243	90.48111517
244	90.47469254
245	90.46927366
246	90.46442858
247	90.45772322
248	90.44388823
249	90.438042
250	90.42788068
251	90.4188018
252	90.41166732
253	90.40685042
254	90.40146775
255	90.39045646
256	90.38500505
257	90.37538372
258	90.36594285
259	90.35586535
260	90.34982925
261	90.33979093
262	90.32973722
263	90.31700419
264	90.3070463
265	90.29885816
266	90.28649172
267	90.28042872
268	90.27289905
269	90.2655493
270	90.25527324
271	90.24789665
272	90.23991237
273	90.22793529
274	90.21906141
275	90.20946519
276	90.19830157
277	90.19128108
278	90.18095064
279	90.17382059
280	90.16421901
281	90.15657106
282	90.14669191
283	90.14058582
284	90.12769575
285	90.12220658
286	90.1167504
287	90.11363174
288	90.10196761
289	90.09085962
290	90.08815138
291	90.08224304
292	90.07477586
293	90.05991876
294	90.05231745
295	90.03982574
296	90.02809052
297	90.01921879
298	90.01443154
299	90.00590976
300	89.99344273
301	89.98769666
302	89.97723218
303	89.97194484
304	89.96385177
305	89.957637
306	89.94661457
307	89.93837203
308	89.93188111
309	89.92707622
310	89.91372398
311	89.90641455
312	89.89268178
313	89.88357316
314	89.87862037
315	89.87054516
316	89.8638186
317	89.85630631
318	89.84958602
319	89.84233852
320	89.83793543
321	89.83271772
322	89.82805359
323	89.82156252
324	89.81289917
325	89.80765303
326	89.79979752
327	89.794672
328	89.78993847
329	89.77986142
330	89.77130387
331	89.75968181
332	89.75527406
333	89.74892775
334	89.74181971
335	89.73403704
336	89.72905366
337	89.72175145
338	89.71819982
339	89.7112257
340	89.70423104
341	89.69917778
342	89.690685
343	89.68427872
344	89.67657991
345	89.66756892
346	89.66054688
347	89.65265192
348	89.64790794
349	89.64559726
350	89.642484
351	89.63372637
352	89.62767397
353	89.62150484
354	89.61406218
