iter	RMSE
355	89.6070199
356	89.60077705
357	89.59509049
358	89.59205058
359	89.58117829
360	89.57724685
361	89.56927188
362	89.56416917
363	89.56152212
364	89.55543647
365	89.54376283
366	89.5374075
367	89.52974157
368	89.52491122
369	89.51746851
370	89.50802719
371	89.50109504
372	89.49454283
373	89.48913157
374	89.48342959
375	89.48117021
376	89.47650895
377	89.46911303
378	89.46504969
379	89.45598989
380	89.45142231
381	89.44662066
382	89.4362822
383	89.43131013
384	89.42675513
385	89.42235354
386	89.41594273
387	89.41276339
388	89.41035846
389	89.40631865
390	89.40269666
391	89.39843244
392	89.39471695
393	89.39173197
394	89.38248455
395	89.37774972
396	89.37006839
397	89.36318196
398	89.35696324
399	89.3501294
400	89.34392748
401	89.33686199
402	89.33320084
403	89.32767188
404	89.32094997
405	89.31797369
406	89.31330774
407	89.30497085
408	89.29818265
409	89.29317046
410	89.28719905
411	89.28367779
412	89.28038334
413	89.27491099
414	89.26835033
415	89.26524087
416	89.25891677
417	89.2528245
418	89.24593745
419	89.23735391
420	89.23344965
421	89.23093896
422	89.2264587
423	89.22220353
424	89.21674942
425	89.21287588
426	89.20877304
427	89.20578497
428	89.20039424
429	89.19443329
430	89.18800226
431	89.18330849
432	89.17595887
433	89.17322304
434	89.16835882
435	89.16401526
436	89.1572146
437	89.15112792
438	89.1475058
439	89.14359117
440	89.13639362
441	89.13227308
442	89.12712991
443	89.12382184
444	89.11762522
445	89.11326761
446	89.10976181
447	89.10741526
448	89.10176274
449	89.09864191
450	89.09092178
451	89.08663397
452	89.08411692
453	89.07526457
454	89.07184002
455	89.06684495
456	89.06218371
457	89.05679084
458	89.04926069
459	89.04240234
460	89.0354503
461	89.02871408
462	89.02070643
463	89.0157644
464	89.01163047
465	89.00520025
466	88.99989549
467	88.99488718
468	88.99087099
469	88.98682932
470	88.98161103
471	88.97574351
472	88.96918956
473	88.96458568
474	88.9591645
475	88.9538925
476	88.94995101
477	88.94556592
478	88.93670711
479	88.9321781
480	88.92710536
481	88.92398246
482	88.92120198
483	88.91601341
484	88.90772187
485	88.90205859
486	88.89447208
487	88.88941059
488	88.88452865
489	88.88175537
490	88.87615436
491	88.87107143
492	88.86442834
493	88.85946018
494	88.85403296
495	88.84990014
496	88.84547066
497	88.84147682
498	88.83808297
499	88.83491264
500	88.82967442
501	88.82403034
502	88.82032824
503	88.81639201
504	88.81156433
505	88.80678415
506	88.80184809
507	88.79903897
508	88.79188384
509	88.78811896
510	88.78319441
511	88.77674201
512	88.77405409
513	88.76865868
514	88.76561365
515	88.76059627
516	88.75756173
517	88.75405422
518	88.74505868
519	88.74051863
520	88.73629098
521	88.73075836
522	88.72437061
523	88.72208873
524	88.71658869
525	88.71122764
526	88.7063368
527	88.70256969
528	88.6987801
529	88.69497163
530	88.68832353
531	88.6826065
532	88.6795945
533	88.67287841
534	88.66689683
535	88.66302797
536	88.65507155
537	88.65084011
538	88.6453514
539	88.63929103
540	88.63333272
541	88.62837151
542	88.62360872
543	88.61772332
544	88.61362402
545	88.60880301
546	88.60351781
547	88.59916332
548	88.59675376
549	88.59457248
550	88.59049889
551	88.58679187
552	88.58401612
553	88.58041148
554	88.57640951
555	88.57162431
556	88.5695202
557	88.56645741
558	88.56269872
559	88.55867979
560	88.55540764
561	88.55319894
562	88.54766524
563	88.54463345
564	88.54033666
565	88.53593168
566	88.52787287
567	88.52353912
568	88.51949314
569	88.51567673
570	88.51050865
571	88.50818829
572	88.50526725
573	88.50142924
574	88.4938521
575	88.49002548
576	88.48594796
577	88.48217214
578	88.47764531
579	88.47367218
580	88.46942457
581	88.46665114
582	88.46315089
583	88.46053886
584	88.4542787
585	88.45149477
586	88.44814974
587	88.44551133
588	88.44333734
589	88.43994818
590	88.43601064
591	88.43204187
592	88.42651977
593	88.42331557
594	88.41921075
595	88.41501602
596	88.41227755
597	88.41032754
598	88.40186536
599	88.39309022
600	88.38837104
601	88.38371246
602	88.38148383
603	88.37634181
604	88.37195312
605	88.36882597
606	88.36608594
607	88.36123488
608	88.35773758
609	88.35333345
610	88.34812575
611	88.34369976
612	88.34034917
613	88.33810212
614	88.33431173
615	88.33273033
616	88.32916097
617	88.32523633
618	88.32223905
619	88.31766957
620	88.31482077
621	88.3113883
622	88.30840365
623	88.30465085
624	88.30057514
625	88.29684773
626	88.29314817
627	88.28691636
628	88.2847347
629	88.28117913
630	88.27792666
631	88.27479169
632	88.27193374
633	88.26512714
634	88.26148902
635	88.25797641
636	88.25347815
637	88.24992654
638	88.24648789
639	88.24071372
640	88.2340962
641	88.23088124
642	88.2279295
643	88.22424004
644	88.21962721
645	88.2141503
646	88.21061741
647	88.20594287
648	88.20291232
649	88.19866539
